unknown	与<e2>李源澄</e2>论<e1>戴东原</e1>书
unknown	尉迟宝林倒反白良关，杀死<e1>刘国桢</e1>，<e2>梅秀英</e2>自尽全节。
unknown	1982年由张先生介绍跟山水画家<e2>徐北汀</e2>、<e1>陶一清</e1>先生等前辈专门研习北派山水画。
好友	我是<e1>胡淑芬</e1>，我是<e2>蔡春猪</e2>的朋友。
师生	《秦时明月》<e1>卫庄</e1>与剧中人物关系非常的复杂，卫庄和盖聂是同门师兄弟，都是<e2>鬼谷子</e2>的徒弟。
夫妻	<e1>汪峰</e1>曾有两段婚姻，他的第一任妻子是四川主持人<e2>齐丹</e2>，两人在汪峰成名前就已经相识。
父母	<e1>程智轩</e1>背景及遭遇:轩品性善良，除对生母凤孝顺之外，对继母<e2>沈金卿</e2>亦甚为尊敬。
unknown	黄樵松愤于国家贫弱，立志从军报国，便毅然中断学业，与同学<e1>张宗衡</e1>一道去报考<e2>冯玉祥</e2>的学兵团。
亲戚	1837年6月20日，<e1>威廉四世</e1>辞世，他的侄女<e2>维多利亚</e2>即位。
unknown	1985年初，在<e1>毛泽东</e1>原卫士长李银桥夫妇的热心帮助下，<e2>李讷</e2>和王景清结婚。
同门	许多人听到这个名字可能不熟悉，不过他的来头不小，和<e1>狄龙</e1>是同门师兄弟，两人曾经都拜在叶问徒弟招允门下学习咏春，当年<e2>李海生</e2>进入电影圈发展也是狄龙介绍的。
合作	（<e1>何洁</e1>演唱歌曲）:《201314》是何洁演唱的一首歌曲，<e2>孔令晨</e2>作词，DJHunter作曲。
unknown	时湖南巡<e1>抚骆秉</e1>章命席保田募兵，苏元春与长兄苏元璋、堂弟<e2>苏元瑞</e2>即率百余人投湘军席宝田部，苏元春被任命为百夫长
上下级	为了杀掉陈理，朱元璋可是没少费心思，然而只是杀掉了<e1>陈友谅</e1>曾经的一员大将<e2>张必先</e2>。
